name
ROLE_ADMIN
ROLE_USER
ROLE_ALUNO
ROLE_ADMINIST
ROLE_FUNC
ROLE_PROF
ROLE_SUP_FUNC
ROLE_SUP_PROF
ROLE_SUP_ADMIN
ROLE_DIRETOR
